# Explicitly installed packages — generated 2026-09-06 on 7.2.3-arch1-3
# Reinstall with:  pacman -S --needed - < <(awk '{print $1}' pkglist.txt | grep -v '^#')
#
# --- repo packages ---
7zip 26.03-1
alacritty 0.17.0-1
alsa-utils 1.2.16-1
archinstall 4.4-1
awww 0.12.1-1
azote 1.16.0-4
base 3-3
base-devel 1-2
bat 0.26.1-2
blueman 2.4.6-2
bluez 5.87-2
bluez-utils 5.87-2
bolt 0.9.11-3
breeze-icons 6.29.0-1
brightnessctl 0.5.1-3
bspwm 0.9.12-1
btop 1.4.7-1
btrfs-progs 7.1-1
calibre 9.14.0-1
chromium 152.0.7977.82-1
cifs-utils 7.5-1
clang 22.1.8-1
cliphist 1:0.7.0-2
dpkg 1.23.7-1
dunst 1.13.2-2
efibootmgr 18-4
evince 1:48.4-1
eza 0.23.5-2
fastfetch 2.68.1-1
fd 10.5.0-3
feh 3.12.4-1
figlet 2.2.5-6
firefox 155.0.1-1
fish 4.9.1-1
foot 1.28.0-1
freerdp 2:3.31.1-1
fuzzel 1.15.0-1
fzf 0.74.3-1
geany 2.1-2
geany-plugins 2.1-3
gh0stzk-cursor-qogirr 1.0-1
gh0stzk-gtk-themes 1.0-1
gh0stzk-icons-beautyline 1.0-0
gh0stzk-icons-candy 1.0-0
gh0stzk-icons-catppuccin-mocha 1.0-0
gh0stzk-icons-dracula 1.0-0
gh0stzk-icons-glassy 1.0-0
gh0stzk-icons-gruvbox-plus-dark 1.0-0
gh0stzk-icons-hack 1.0-0
gh0stzk-icons-luv 1.0-0
gh0stzk-icons-sweet-rainbow 1.0-0
gh0stzk-icons-tokyo-night 1.0-0
gh0stzk-icons-vimix-white 1.0-0
gh0stzk-icons-zafiro 1.0-0
gh0stzk-icons-zafiro-purple 1.0-0
git 2.55.0-1
github-cli 2.100.0-1
go 2:1.27.0-1
grim 1.5.0-2
grub 2:2.14-1
gst-plugin-pipewire 1:1.6.8-1
gtk4 1:4.22.4-1
gum 2.0.0-1
guvcview 2.2.2-4
gvfs 1.60.2-4
gvfs-mtp 1.60.2-4
hivex 1.3.24-8
hypridle 0.1.8-2
hyprland 0.56.2-2
hyprlock 0.9.6-3
hyprpaper 0.8.4-8
hyprpicker 0.4.7-4
hyprutils 0.14.1-1
i3blocks 1.5-4
i3lock 2.16-1
i3status 2.15-1
i3-wm 4.25.1-1
imagemagick 7.1.2.31-1
imv 5.0.1-2
inotify-tools 4.25.9.0-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
inxi 3.3.41.1-1
jgmenu 4.6.0-1
jq 1.8.2-1
jupyterlab 4.6.3-1
jupyter-notebook 7.6.2-1
kitty 0.48.2-1
kvantum 1.1.8-1
lf 42-1
libadwaita 1:1.9.3-1
libpulse 17.0+r98+gb096704c0-1
libva-utils 2.24.0-1
linux 7.2.3.arch1-3
linux-firmware 20260810-2
lsd 1.2.0-2
lua-language-server 3.19.1-1
lxappearance 0.6.4-3
maim 5.8.2-1
man-pages 6.19-1
mc 4.8.33-1
moonlight-qt 6.1.0-7
mousepad 0.7.0-1
mpc 0.35-2
mpd 0.24.15-2
mpv 1:0.41.0-6
nano 9.2-1
ncmpcpp 0.10.1-9
neovim 0.12.5-1
networkmanager 1.58.1-1
network-manager-applet 1.36.0-2
nextcloud-client 2:34.0.3-1
nm-connection-editor 1.36.0-2
nodejs-lts-krypton 24.20.0-2
noto-fonts 1:2026.09.01-1
npm 12.0.2-1
ntfs-3g 2026.7.7-1
nwg-look 1.1.1-3
okular 26.08.0-2
otf-font-awesome 7.3.1-1
pacman-contrib 1.13.1-1
pamixer 1.6-4
papirus-icon-theme 20260801-1
pavucontrol 1:6.2-1
pdfarranger 1.14.0-1
picom 13-2
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
plocate 1.1.25-1
polkit-gnome 0.105-12
polybar 3.7.2-3
python 3.14.7-1
python-click 8.3.3-1
python-debugpy 1.8.21-1
python-openpyxl 3.1.5-3
python-pandas 2.3.3-2
python-pip 26.2.1-1
python-pipx 1.15.0-1
python-poetry 2.4.1-1
python-psutil 7.2.2-1
python-rich 15.0.0-1
qalculate-gtk 5.12.0-1
qt5ct 1.9-2
qt6ct 0.11-8
ranger 1.9.4-5
rclone 1.75.1-1
redshift 1.12-15
reflector 2023-5
ripgrep 15.2.0-1
rofi 2.0.0-1
rsync 3.5.0-1
rustup 1.29.1-1
sddm 0.21.0-7
slurp 1.5.0-2
snap-pac 3.0.1-3
snapper 0.13.1-3
sof-firmware 2025.12.2-1
sshfs 3.7.6-1
starship 1.26.0-1
swappy 1.8.0-1
sxhkd 0.6.3-1
tailscale 1.102.3-1
